Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	100	2	0.12235958115417994	0.20096106573085518	0.06096961805834517
Weighted Stack-SVD	100	2	0.13791891932487488	0.1974000669928275	0.059134239620741255
Unweighted SVD-Stack	100	2	0.0	0.03269088992524163	0.00977582613707437
Weighted SVD-Stack	100	2	0.0	0.09948393527292117	0.022942052613096918
Unweighted Stack-SVD	316	2	0.12235958115417994	0.073427660064529	0.0580346354255788
Weighted Stack-SVD	316	2	0.13791891932487488	0.09241646858301411	0.06195889926686067
Unweighted SVD-Stack	316	2	0.0	0.04908767743539216	0.0337387499279834
Weighted SVD-Stack	316	2	0.0	0.07064772433776625	0.03146161418787754
Unweighted Stack-SVD	1000	2	0.12235958115417994	0.12348432708158735	0.035683311259376495
Weighted Stack-SVD	1000	2	0.13791891932487488	0.12747828154513183	0.04027970698833428
Unweighted SVD-Stack	1000	2	0.0	0.020985862129492768	0.006551192450153663
Weighted SVD-Stack	1000	2	0.0	0.02606938918047001	0.012442809743235268
Unweighted Stack-SVD	3162	2	0.12235958115417994	0.11980742473191452	0.04545818886231303
Weighted Stack-SVD	3162	2	0.13791891932487488	0.13320147111724026	0.04810962343821662
Unweighted SVD-Stack	3162	2	0.0	0.007485788487834531	0.004021655213693765
Weighted SVD-Stack	3162	2	0.0	0.03382746719259425	0.013950001845265148
Unweighted Stack-SVD	10000	2	0.12235958115417994	0.08981795418899724	0.03308547444283636
Weighted Stack-SVD	10000	2	0.13791891932487488	0.09363990571423582	0.03399044276160404
Unweighted SVD-Stack	10000	2	0.0	0.001817806371629662	0.001239368351159509
Weighted SVD-Stack	10000	2	0.0	0.005080539613141893	0.0030396654557663045
