Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	100	2	0.49565918551872923	0.48032746613863986	0.013339304844180744
Weighted Stack-SVD	100	2	0.49804559350013733	0.4826895325000992	0.01335618656919528
Unweighted SVD-Stack	100	2	0.31475769539941356	0.3536166357920702	0.015460404619983003
Weighted SVD-Stack	100	2	0.35170178282009723	0.3781846197697775	0.015052695576290982
Unweighted Stack-SVD	180	2	0.49565918551872923	0.48551089174711337	0.008746125797388527
Weighted Stack-SVD	180	2	0.49804559350013733	0.4812480869390366	0.0101179804957776
Unweighted SVD-Stack	180	2	0.31475769539941356	0.33615183559334305	0.012622490037383296
Weighted SVD-Stack	180	2	0.35170178282009723	0.35024128763904705	0.013691605216564576
Unweighted Stack-SVD	324	2	0.49565918551872923	0.4862625914673462	0.007567491323129313
Weighted Stack-SVD	324	2	0.49804559350013733	0.48833851421074326	0.007304065202154482
Unweighted SVD-Stack	324	2	0.31475769539941356	0.3019104118754568	0.012399787902290354
Weighted SVD-Stack	324	2	0.35170178282009723	0.3311652083223173	0.012812684676628572
Unweighted Stack-SVD	584	2	0.49565918551872923	0.49157408875030056	0.003872391299669047
Weighted Stack-SVD	584	2	0.49804559350013733	0.49454812566696843	0.003779465532617624
Unweighted SVD-Stack	584	2	0.31475769539941356	0.31974482774624224	0.009036134410770221
Weighted SVD-Stack	584	2	0.35170178282009723	0.3577195746203659	0.007846833473852304
Unweighted Stack-SVD	1053	2	0.49565918551872923	0.4942178095245086	0.0031804644141399897
Weighted Stack-SVD	1053	2	0.49804559350013733	0.4962946928191303	0.0031565666488184803
Unweighted SVD-Stack	1053	2	0.31475769539941356	0.30736389975732564	0.009535253803673954
Weighted SVD-Stack	1053	2	0.35170178282009723	0.3469705000352715	0.00740095245492028
Unweighted Stack-SVD	1898	2	0.49565918551872923	0.4949870581768295	0.0021723425370400503
Weighted Stack-SVD	1898	2	0.49804559350013733	0.49776163259998624	0.0021854537837398104
Unweighted SVD-Stack	1898	2	0.31475769539941356	0.30529236168693924	0.006673765866832838
Weighted SVD-Stack	1898	2	0.35170178282009723	0.3472584467311296	0.0047942767421255365
Unweighted Stack-SVD	3419	2	0.49565918551872923	0.49765817789511063	0.0018389635023406824
Weighted Stack-SVD	3419	2	0.49804559350013733	0.5001038852305011	0.0018322196315196768
Unweighted SVD-Stack	3419	2	0.31475769539941356	0.3031230789630541	0.006735512294199576
Weighted SVD-Stack	3419	2	0.35170178282009723	0.3499387165113523	0.0041696662669744415
Unweighted Stack-SVD	6161	2	0.49565918551872923	0.4954612555859664	0.001224211856318783
Weighted Stack-SVD	6161	2	0.49804559350013733	0.4976448406436777	0.0012270724993181416
Unweighted SVD-Stack	6161	2	0.31475769539941356	0.2963660051408461	0.005680456953978612
Weighted SVD-Stack	6161	2	0.35170178282009723	0.3477330205554987	0.002702006240310739
Unweighted Stack-SVD	11100	2	0.49565918551872923	0.4951780772715473	0.0009710740860763556
Weighted Stack-SVD	11100	2	0.49804559350013733	0.4976776324479209	0.0009582085512814603
Unweighted SVD-Stack	11100	2	0.31475769539941356	0.30059033143012537	0.004528592811700405
Weighted SVD-Stack	11100	2	0.35170178282009723	0.34705732578454224	0.002324706024527913
Unweighted Stack-SVD	20000	2	0.49565918551872923	0.49588822404254723	0.0006801087881529294
Weighted Stack-SVD	20000	2	0.49804559350013733	0.4982264348989014	0.0006724318346708054
Unweighted SVD-Stack	20000	2	0.31475769539941356	0.31328408913384986	0.003356699316415852
Weighted SVD-Stack	20000	2	0.35170178282009723	0.3503047951078274	0.001903714225851556
