Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	100	2	0.7979829822335358	0.7948908341337992	0.008951483197873178
Weighted Stack-SVD	100	2	0.8008058369159698	0.7994903123244679	0.00881302262949403
Unweighted SVD-Stack	100	2	0.7290669349801053	0.699178548189728	0.031019446642094956
Weighted SVD-Stack	100	2	0.7867803837953091	0.7816908481418348	0.01516363837723322
Unweighted Stack-SVD	316	2	0.7979829822335358	0.794571805735024	0.005224560942205448
Weighted Stack-SVD	316	2	0.8008058369159698	0.7981398308231299	0.004770656920114357
Unweighted SVD-Stack	316	2	0.7290669349801053	0.7249356909311706	0.009105621112600125
Weighted SVD-Stack	316	2	0.7867803837953091	0.7857250708238149	0.005186940364211335
Unweighted Stack-SVD	1000	2	0.7979829822335358	0.8012553687792956	0.0028987863510408114
Weighted Stack-SVD	1000	2	0.8008058369159698	0.8046785102632009	0.0027943026607775193
Unweighted SVD-Stack	1000	2	0.7290669349801053	0.7334253565202293	0.004842120823268998
Weighted SVD-Stack	1000	2	0.7867803837953091	0.7907237211656954	0.0026019743354562344
Unweighted Stack-SVD	3162	2	0.7979829822335358	0.7979478042815605	0.00242280722224273
Weighted Stack-SVD	3162	2	0.8008058369159698	0.8008431006573977	0.0023002307166010674
Unweighted SVD-Stack	3162	2	0.7290669349801053	0.7301468831163944	0.004392947860877607
Weighted SVD-Stack	3162	2	0.7867803837953091	0.7879969578537664	0.0025865817955472398
Unweighted Stack-SVD	10000	2	0.7979829822335358	0.7982149779891993	0.0008719606772507634
Weighted Stack-SVD	10000	2	0.8008058369159698	0.8006849442186643	0.0008297692280214311
Unweighted SVD-Stack	10000	2	0.7290669349801053	0.7300305219616814	0.001611135500878318
Weighted SVD-Stack	10000	2	0.7867803837953091	0.7864983566689321	0.0011316139179429335
