Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	10000	2	0.0	0.001299621806509487	0.0004195843181072922
Weighted Stack-SVD	10000	2	2.9802322387695312e-08	0.0012484430081234096	0.00041990188041326446
Unweighted SVD-Stack	10000	2	0.0	0.00037371444649356405	0.00013979850892675635
Weighted SVD-Stack	10000	2	0.0	0.0006401299705234814	0.00025887585406987357
Unweighted Stack-SVD	10000	4	0.0	0.02852099989836937	0.01028396708019699
Weighted Stack-SVD	10000	4	2.9802322387695312e-08	0.031493624876156104	0.01034899307432558
Unweighted SVD-Stack	10000	4	0.0	0.0007001585282670072	0.00021031212424786643
Weighted SVD-Stack	10000	4	0.0	0.00047190057141339846	8.200739188688038e-05
Unweighted Stack-SVD	10000	6	0.2282192064643112	0.2299591698429863	0.006256117359062086
Weighted Stack-SVD	10000	6	0.2282191812992096	0.22965602094963256	0.0062670395381897856
Unweighted SVD-Stack	10000	6	0.0	0.0007426132809887671	0.00027161386116527996
Weighted SVD-Stack	10000	6	0.0	0.0007850517230531182	0.00025972207110871944
Unweighted Stack-SVD	10000	8	0.38194790111166393	0.38177079512921974	0.005705411493449431
Weighted Stack-SVD	10000	8	0.38194790482521057	0.38177077493147094	0.005705412479101452
Unweighted SVD-Stack	10000	8	0.0	0.00039528649751981014	0.00012496065638461124
Weighted SVD-Stack	10000	8	0.0	0.00025304504596404385	9.691535656138134e-05
Unweighted Stack-SVD	10000	10	0.4846074022829472	0.48230291276890214	0.0022564821656222258
Weighted Stack-SVD	10000	10	0.48460742831230164	0.48230290564475986	0.0022564789103689115
Unweighted SVD-Stack	10000	10	0.0	0.00040540200398798254	0.00012759853656475273
Weighted SVD-Stack	10000	10	0.0	0.0008162369196892406	0.0005453632281096727
Unweighted Stack-SVD	10000	12	0.5580208827717136	0.5589282441953964	0.0025934162846794383
Weighted Stack-SVD	10000	12	0.5580208599567413	0.5589282476184865	0.002593423294947143
Unweighted SVD-Stack	10000	12	0.0	0.0006899427884931818	0.0002757123594575996
Weighted SVD-Stack	10000	12	0.0	0.000813339361892269	0.0002422525889697839
Unweighted Stack-SVD	10000	14	0.6131276938256218	0.6151246077324017	0.002707027979594664
Weighted Stack-SVD	10000	14	0.6131276786327362	0.6151246149601085	0.002707026142984221
Unweighted SVD-Stack	10000	14	0.0	0.0009605688024325015	0.0002623883263668697
Weighted SVD-Stack	10000	14	0.0	0.0005470190807183426	0.00020448430705022872
Unweighted Stack-SVD	10000	16	0.656016252654908	0.6585546088890257	0.0025642549358684554
Weighted Stack-SVD	10000	16	0.6560162603855133	0.65855461281579	0.00256426671699065
Unweighted SVD-Stack	10000	16	0.0	0.0009896682339984976	0.00029340573140409137
Weighted SVD-Stack	10000	16	0.0	0.000706709851839768	0.0002493613608880154
