Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	5000	2	0.5632875143184422	0.5660882577142591	0.003925977422702972
Weighted Stack-SVD	5000	2	0.5632875263690948	0.566088236979159	0.003925972125949048
Unweighted SVD-Stack	5000	2	0.4680851063829785	0.46377576712619206	0.006634250166906891
Weighted SVD-Stack	5000	2	0.4680851063829787	0.46377577815561766	0.006634251228257432
Unweighted Stack-SVD	5000	4	0.3843069873997709	0.38523184563023444	0.006780308741178011
Weighted Stack-SVD	5000	4	0.5632875263690948	0.5643697272524545	0.002646594555309709
Unweighted SVD-Stack	5000	4	0.4680851063829785	0.4674262013613563	0.004399255163805575
Weighted SVD-Stack	5000	4	0.4680851063829787	0.46993671102497625	0.004178893665125886
Unweighted Stack-SVD	5000	6	0.20532646048109965	0.21473552873357823	0.010873430447620146
Weighted Stack-SVD	5000	6	0.5632875263690948	0.5647528557937747	0.004162338551711619
Unweighted SVD-Stack	5000	6	0.4680851063829785	0.46533044485481473	0.004027408886493624
Weighted SVD-Stack	5000	6	0.4680851063829787	0.46922944578518155	0.0040632697763775955
Unweighted Stack-SVD	5000	8	0.02634593356242837	0.0569882957961458	0.017087211420177495
Weighted Stack-SVD	5000	8	0.5632875263690948	0.5629089301611554	0.004258001591601499
Unweighted SVD-Stack	5000	8	0.4680851063829785	0.4647883144396083	0.007314823199682569
Weighted SVD-Stack	5000	8	0.4680851063829787	0.4697152331950102	0.007287186628552491
Unweighted Stack-SVD	5000	10	0.0	0.018151868131770672	0.005234020842802487
Weighted Stack-SVD	5000	10	0.5632875263690948	0.5703942289193364	0.0023368120237236487
Unweighted SVD-Stack	5000	10	0.4680851063829785	0.46941664205960115	0.0044539255782811375
Weighted SVD-Stack	5000	10	0.4680851063829787	0.4754436527395532	0.004259390285030918
Unweighted Stack-SVD	5000	12	0.0	0.006742772165809154	0.0022872361491842004
Weighted Stack-SVD	5000	12	0.5632875263690948	0.5672314233939473	0.0036106486704894653
Unweighted SVD-Stack	5000	12	0.4680851063829785	0.4689874129361602	0.006337788143350815
Weighted SVD-Stack	5000	12	0.4680851063829787	0.48067130639069866	0.0056046265281766644
Unweighted Stack-SVD	5000	14	0.0	0.005294900775322638	0.002151787763981833
Weighted Stack-SVD	5000	14	0.5632875263690948	0.5639253043934339	0.0037015424508715497
Unweighted SVD-Stack	5000	14	0.4680851063829785	0.4603179431905424	0.004939157420643072
Weighted SVD-Stack	5000	14	0.4680851063829787	0.473659459770264	0.0036418705897105197
Unweighted Stack-SVD	5000	16	0.0	0.002803975777674994	0.001185928760428098
Weighted Stack-SVD	5000	16	0.5632875263690948	0.5677663062944124	0.003486320810110138
Unweighted SVD-Stack	5000	16	0.4680851063829785	0.4602277307438557	0.00526986210182226
Weighted SVD-Stack	5000	16	0.4680851063829787	0.47284216621467	0.005193322512398782
