Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	100	3	0.0	0.12716967656524292	0.012294976357905498
Weighted Stack-SVD	100	3	0.24847301840782166	0.26508816978446015	0.014610201645292056
Unweighted SVD-Stack	100	3	0.0	0.11428009813284903	0.011936824409427612
Weighted SVD-Stack	100	3	0.0	0.1504916996484484	0.012651349095881542
Unweighted Stack-SVD	180	3	0.0	0.1069607760360384	0.008585312663753371
Weighted Stack-SVD	180	3	0.24847301840782166	0.24411732567043073	0.013166878237561009
Unweighted SVD-Stack	180	3	0.0	0.1015108547240647	0.010199659195897347
Weighted SVD-Stack	180	3	0.0	0.12488743901518236	0.010619178914033797
Unweighted Stack-SVD	324	3	0.0	0.07117610032814879	0.007022159369734354
Weighted Stack-SVD	324	3	0.24847301840782166	0.2512871238662069	0.010682651530018086
Unweighted SVD-Stack	324	3	0.0	0.08482631071047245	0.007839399447470752
Weighted SVD-Stack	324	3	0.0	0.10249560433561897	0.008437430285601103
Unweighted Stack-SVD	584	3	0.0	0.053576046781056715	0.005240213682432065
Weighted Stack-SVD	584	3	0.24847301840782166	0.23628856914251947	0.009308304381767848
Unweighted SVD-Stack	584	3	0.0	0.05636441514026422	0.0060596383705887515
Weighted SVD-Stack	584	3	0.0	0.07597818783049264	0.006714221267627838
Unweighted Stack-SVD	1053	3	0.0	0.03519540311161477	0.0037843912887470057
Weighted Stack-SVD	1053	3	0.24847301840782166	0.2414454816870965	0.006826211848676311
Unweighted SVD-Stack	1053	3	0.0	0.04548951114192851	0.004847165568486849
Weighted SVD-Stack	1053	3	0.0	0.0585688056683421	0.005077178358944506
Unweighted Stack-SVD	1898	3	0.0	0.025683811536675948	0.002838124374062381
Weighted Stack-SVD	1898	3	0.24847301840782166	0.23590229622747974	0.004952434128450941
Unweighted SVD-Stack	1898	3	0.0	0.027432610526562918	0.0027382557756122296
Weighted SVD-Stack	1898	3	0.0	0.03690978795660415	0.00341270006693242
Unweighted Stack-SVD	3419	3	0.0	0.0151780265178166	0.00185065473880534
Weighted Stack-SVD	3419	3	0.24847301840782166	0.24347133958495104	0.004730122731242756
Unweighted SVD-Stack	3419	3	0.0	0.026604296245207264	0.0029374460603103403
Weighted SVD-Stack	3419	3	0.0	0.03400371992082205	0.003210239704472953
Unweighted Stack-SVD	6161	3	0.0	0.011676219651395698	0.0013328849135712676
Weighted Stack-SVD	6161	3	0.24847301840782166	0.2441432083048587	0.0031173199756754227
Unweighted SVD-Stack	6161	3	0.0	0.014487296514989624	0.0018066263894941912
Weighted SVD-Stack	6161	3	0.0	0.017895890961402146	0.0019562104972540417
Unweighted Stack-SVD	11100	3	0.0	0.007433867943669895	0.001027037548225659
Weighted Stack-SVD	11100	3	0.24847301840782166	0.24866046127631003	0.002169722762129328
Unweighted SVD-Stack	11100	3	0.0	0.009064425848541956	0.001103360097711182
Weighted SVD-Stack	11100	3	0.0	0.012480008530291263	0.0012603385562919213
Unweighted Stack-SVD	20000	3	0.0	0.00517420810059149	0.0005830176900697676
Weighted Stack-SVD	20000	3	0.24847301840782166	0.2474340612831126	0.0014191635902557503
Unweighted SVD-Stack	20000	3	0.0	0.0072176866210624975	0.001100015388887008
Weighted SVD-Stack	20000	3	0.0	0.009427320838516834	0.0010215512236757662
