Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	100	3	0.8402746678608749	0.8462633075274248	0.002087892550875433
Weighted Stack-SVD	100	3	0.8404222428798676	0.8462815981054945	0.0020981038453978884
Unweighted SVD-Stack	100	3	0.8223297234059425	0.8263696872697277	0.0028795461173349197
Weighted SVD-Stack	100	3	0.8245614035087719	0.8291424096157624	0.002746048895716517
Unweighted Stack-SVD	316	3	0.8402746678608749	0.8390308491028285	0.001422329783532739
Weighted Stack-SVD	316	3	0.8404222428798676	0.8391767910382976	0.001422009146783846
Unweighted SVD-Stack	316	3	0.8223297234059425	0.8205609591010997	0.0016680363622836522
Weighted SVD-Stack	316	3	0.8245614035087719	0.8224494183758425	0.0016341884189699156
Unweighted Stack-SVD	1000	3	0.8402746678608749	0.840227315355481	0.0007919745069809994
Weighted Stack-SVD	1000	3	0.8404222428798676	0.8404008552100822	0.0007888835258492956
Unweighted SVD-Stack	1000	3	0.8223297234059425	0.8223572799917673	0.0009422761651500463
Weighted SVD-Stack	1000	3	0.8245614035087719	0.8245601988858283	0.000907275324135046
Unweighted Stack-SVD	3162	3	0.8402746678608749	0.8399246110684007	0.000474552998830482
Weighted Stack-SVD	3162	3	0.8404222428798676	0.8400587944517716	0.000475174789500129
Unweighted SVD-Stack	3162	3	0.8223297234059425	0.8222601752651382	0.0005604244728764452
Weighted SVD-Stack	3162	3	0.8245614035087719	0.824417168632482	0.0005388513027011616
Unweighted Stack-SVD	10000	3	0.8402746678608749	0.8404972876286148	0.00021491603302188888
Weighted Stack-SVD	10000	3	0.8404222428798676	0.8406377006610609	0.0002154184724820325
Unweighted SVD-Stack	10000	3	0.8223297234059425	0.8225283103595867	0.0002692454213381689
Weighted SVD-Stack	10000	3	0.8245614035087719	0.8247237505275226	0.0002652213814513954
