Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	100	3	0.8402746678608749	0.8310787728835856	0.004414037738642035
Weighted Stack-SVD	100	3	0.8404222428798676	0.8308124498911245	0.004431877336706504
Unweighted SVD-Stack	100	3	0.8223297234059425	0.7952620180196813	0.010190597714888276
Weighted SVD-Stack	100	3	0.8245614035087719	0.7968779569996816	0.009090605038830572
Unweighted Stack-SVD	316	3	0.8402746678608749	0.8413995532436098	0.004735349580560188
Weighted Stack-SVD	316	3	0.8404222428798676	0.8417176429799411	0.004584076850285774
Unweighted SVD-Stack	316	3	0.8223297234059425	0.8170834732001762	0.006786777608006576
Weighted SVD-Stack	316	3	0.8245614035087719	0.8213251332584873	0.006358287814949762
Unweighted Stack-SVD	1000	3	0.8402746678608749	0.8430003224961421	0.0019162388312416504
Weighted Stack-SVD	1000	3	0.8404222428798676	0.8432877895529538	0.001855372975631597
Unweighted SVD-Stack	1000	3	0.8223297234059425	0.8232993539750544	0.0023106196501175044
Weighted SVD-Stack	1000	3	0.8245614035087719	0.8260238110763751	0.0020362468467832523
Unweighted Stack-SVD	3162	3	0.8402746678608749	0.8394678801204671	0.0009147502494632207
Weighted Stack-SVD	3162	3	0.8404222428798676	0.8396828037744347	0.0008838969842331958
Unweighted SVD-Stack	3162	3	0.8223297234059425	0.8214048504648648	0.0010791864194071134
Weighted SVD-Stack	3162	3	0.8245614035087719	0.8234864380751707	0.0010840322636969098
Unweighted Stack-SVD	10000	3	0.8402746678608749	0.8417609370367878	0.0007435563347111072
Weighted Stack-SVD	10000	3	0.8404222428798676	0.8418686117157426	0.0007373727969915896
Unweighted SVD-Stack	10000	3	0.8223297234059425	0.8239523036133152	0.0007115186043058218
Weighted SVD-Stack	10000	3	0.8245614035087719	0.8259762951841711	0.0006973104517905188
