Method	d	M	asymp_opt_power	mean	std_err
Unweighted Stack-SVD	5000	5	0.0	0.017224927746823004	0.0018546423295067484
Weighted Stack-SVD	5000	5	0.5999999940395355	0.5992193630203839	0.0010692958526407098
Unweighted SVD-Stack	5000	5	0.0	0.07726948170912507	0.004902858690096409
Weighted SVD-Stack	5000	5	0.0	0.07758169654712635	0.004792261143795598
Unweighted Stack-SVD	5000	6	3.5527136788004996e-16	0.011909023998443647	0.0013272235288494427
Weighted Stack-SVD	5000	6	0.6666666567325592	0.6653430121721512	0.0009570471066936788
Unweighted SVD-Stack	5000	6	0.0	0.08543758461328327	0.00570461304350932
Weighted SVD-Stack	5000	6	0.0	0.09497643331200047	0.005322574915729249
Unweighted Stack-SVD	5000	7	0.0	0.009208431194756714	0.0010904819780115666
Weighted Stack-SVD	5000	7	0.7142857015132904	0.7137617696753813	0.0007787127761377453
Unweighted SVD-Stack	5000	7	0.0	0.11920795601054472	0.005680813574797076
Weighted SVD-Stack	5000	7	0.0	0.11678451022019504	0.005758552022231334
Unweighted Stack-SVD	5000	8	2.5376526277146434e-16	0.009299964429598321	0.0011162100601359312
Weighted Stack-SVD	5000	8	0.7499999701976776	0.7495477934369231	0.0006374888310530156
Unweighted SVD-Stack	5000	8	0.0	0.12975054562770214	0.005523506769572517
Weighted SVD-Stack	5000	8	0.0	0.1408342555959018	0.005882905755238921
