=== doubled 2L-cycle: k = 2L, v = k, D = 1 (exact, no seed) ===
 L    k   v   D  | #bad parent  #bad stack  #bad odd
 2    4   4   1  |      5           4          2
 3    6   6   1  |      7           6          2
 4    8   8   1  |      9           8          2
 5   10  10   1  |     11          10          2
 6   12  12   1  |     13          12          2
 7   14  14   1  |     15          14          2
 8   16  16   1  |     17          16          2
 9   18  18   1  |     19          18          2
10   20  20   1  |     21          20          2
11   22  22   1  |     23          22          2
12   24  24   1  |     25          24          2
